Month,Gasoline (Thousand bbls_d),Ethane (Thousand bbls_day),Propane (Thousand bbl_d),Jet Fuel (Thousand bbl_d)
Jul-21,1407,2,289,1420
Aug-21,1397,4,288,1432
Sep-21,1351,6,260,1353
Oct-21,1392,2,277,1319
Nov-21,1441,8,287,1435
Dec-21,1540,6,294,1511
Jan-22,1416,9,268,1517
Feb-22,1391,6,269,1502
Mar-22,1337,5,284,1435
Apr-22,1325,5,299,1698
